from,to,weight,type
553,Knox Fortune,https://soundcloud.com/knoxfortune,,NA,NA,NA,,NA,Artist,6723,,NA,no,,6215004.329,6.258890469,,,
554,Tim Suby,https://soundcloud.com/timsuby,,NA,NA,NA,,NA,Producer,1192,,NA,no,,NA,0.760777684,,,
555,Corbin,https://soundcloud.com/spookycorbin,,NA,NA,NA,,NA,Artist,292393,,NA,no,,1180219.344,0.330095288,,,
556,Patrick Paige,https://soundcloud.com/patrick-paige,,NA,NA,NA,,NA,Artist,7073,,NA,no,,555023.4765,0.283567276,,,
557,Kodie Shane,https://soundcloud.com/kodieshane,,NA,NA,NA,,NA,Artist,51082,,NA,no,,3587987.651,1.2768151,,,
558,Trap Money Benny,https://soundcloud.com/trapmoneybenny,,NA,NA,NA,,NA,Producer,16881,,NA,no,,NA,0.398477459,,,
559,Gallant,https://soundcloud.com/gallant,,NA,NA,NA,,NA,Artist,101534,,NA,yes,,NA,0.292380331,,,
560,Sonder,https://soundcloud.com/sonder,,NA,NA,NA,,NA,Artist,29364,,NA,no,,2939442.341,2.363522276,,,
561,Roy Blair,https://soundcloud.com/royblair,,NA,NA,NA,,NA,Artist,6880,,NA,no,,960293.5023,0.924160188,,,
562,Zach Sekoff,https://soundcloud.com/zsekoff,,NA,NA,NA,,NA,Artist,4025,,NA,no,,963386.5808,0.625,,,
563,Lil West,https://soundcloud.com/lilwestbb,,NA,NA,NA,,NA,Artist,10409,,NA,no,,1037904.389,0.686786612,,,
564,Michael Anthony,https://soundcloud.com/michaelanthonythempeople,,NA,NA,NA,,NA,Artist,5099,,NA,no,,318525.6217,0.255603618,,,
565,Mac Ayres,https://soundcloud.com/macayres,,NA,NA,NA,,NA,Artist,11288,,NA,no,,5498873.824,7.147603227,,,
566,Dylan Brady,https://soundcloud.com/lilbando,,NA,NA,NA,,NA,Producer,19871,,NA,no,,NA,0.699336137,,,Guitar/Distorted
567,TeamSESH,https://soundcloud.com/teamsesh,,NA,NA,NA,,NA,Collective,333275,,NA,no,,NA,0.989669979,,,Producer Collective
568,Marcgoone,https://soundcloud.com/marcgoone,,NA,NA,NA,,NA,Artist,6464,,NA,no,,221312.3469,0.357087409,,,
569,Mulherin,https://soundcloud.com/mulherinmusic,,NA,NA,,,NA,Artist,6397,,NA,no,,405791.2019,0.297899028,,,Musician
570,Kona,https://soundcloud.com/king_kona,,NA,NA,,,NA,Artist,3228,,NA,no,,351949.5731,0.341933478,,,
571,Ludwig Goransson,https://soundcloud.com/ludovin,,NA,NA,,,NA,Producer,3277,,NA,no,,NA,0.183430144,,,Musician
572,Jordan Evans,https://soundcloud.com/jordanevans,,NA,NA,,,NA,Producer,110,,,no,,NA,0,,,Musician / Daniel Caesar / Boi 1da young legend tweet
573,Matthew Burnett,https://soundcloud.com/matthew-burnett-6,,NA,NA,https://twitter.com/PMBMusic,,NA,Producer,30,,,no,,NA,0,,,Musician / Daniel Caesar / Change Soundcloud Link
574,Lil Xan,https://soundcloud.com/lil_xan,,NA,NA,,,NA,Artist,69201,,,no,,17065950.46,25.64409826,,,
575,Lexxy,https://soundcloud.com/lexxyoffical,,NA,NA,,,NA,Artist,3968,,,no,,472998.7196,0.634034999,,,
576,11:11,https://soundcloud.com/1111music,,NA,NA,,,NA,Artist,41481,,,no,,259423.0303,0.392071444,,,
577,Sash,https://soundcloud.com/nysash,,NA,NA,,,NA,Artist,2133,,,no,,NA,30.85889571,,,Sheck Affiliate
578,Caleon Fox,https://soundcloud.com/supportcaleon,,NA,NA,,,NA,Artist,45994,,,no,,370097.7251,0.35565447,,,
579,Dpat,https://soundcloud.com/dpat,,NA,NA,,,NA,Producer,39282,,,no,,NA,0.239869348,,,Musician / Half of Sonder
580,Ommas Keith,https://soundcloud.com/ommaskeith,,NA,NA,,,NA,Producer,2882,,,no,,NA,0.313261399,,,Musician / Frank Ocean
581,Rostam,https://soundcloud.com/musicrostam,,NA,NA,,,NA,Producer,5114,,,no,,NA,0.451777647,,,Musician / Frank Ocean / Half of Vampire Weekend
582,YBN Nahmir,https://soundcloud.com/nahmir205,,NA,NA,,,NA,Artist,28641,,,no,,72530687.08,118.6502786,,,
583,James Fauntleroy,https://soundcloud.com/thejamesfauntleroy,,NA,NA,,,NA,Artist,31198,,,no,,NA,NA,,,
584,Kevin Parker,https://soundcloud.com/kevinimpala,,NA,NA,,,NA,Artist,22808,,,no,,NA,NA,,,Musician
585,Fuega,https://soundcloud.com/fuegomusica,,NA,NA,,,NA,Artist,17752,,,no,,NA,NA,,,
586,Thelonious Martin,https://soundcloud.com/theloniousmartin,,NA,NA,,,NA,Artist,27624,,,no,,NA,NA,,,
587,The Set,https://soundcloud.com/pstheset,,NA,NA,,,NA,Artist,5494,,,no,,NA,NA,,,
588,Lexii Alijai,https://soundcloud.com/lexiialijai,,NA,NA,,,NA,Artist,25094,,,no,,NA,NA,,,
589,Idrys Black,https://soundcloud.com/idrysblck,,NA,NA,,,NA,Artist,2569,,,no,,NA,NA,,,
590,Clout Cohen,https://soundcloud.com/cloutcohen,,NA,NA,,,NA,Artist,4201,,,no,,NA,NA,,,
591,Chris Fresh,https://soundcloud.com/chrisfresh808,,NA,NA,,,NA,Producer,16897,,,no,,NA,NA,,,
592,London O'Connor,https://soundcloud.com/londonoconnor,,NA,NA,,,NA,Artist,11850,,,no,,NA,NA,,,
593,Samba Beatz,https://soundcloud.com/sambabeatz,,NA,NA,,,,Producer,,,,,,,,,,
594,Rubirosa,https://soundcloud.com/lavi-h,,NA,NA,,,,Producer,,,,,,,,,,
595,Christo Welch,https://soundcloud.com/ohchristo,,,,,,,Producer,,,,,,,,,,
596,Alamo Records,https://soundcloud.com/alamo-records,,,,,,,Label,,,,,,,,,,
